region,snapshot_id,new_all,new_ev,ev_share_pct
LIPA,1,2373845,315,0.0133
LIPA,2,377976,122,0.0323
LIPA,3,344348,804,0.2335
LIPA,4,343726,1486,0.4323
LIPA,5,345145,1643,0.4760
LIPA,6,365748,1590,0.4347
LIPA,7,480126,3446,0.7177
LIPA,8,32615,261,0.8002
LIPA,9,37435,406,1.0845
LIPA,10,62069,691,1.1133
LIPA,11,54661,556,1.0172
LIPA,12,54831,606,1.1052
LIPA,13,31392,345,1.0990
LIPA,14,29795,327,1.0975
LIPA,15,33015,350,1.0601
LIPA,16,34620,388,1.1207
LIPA,17,33108,311,0.9394
LIPA,18,34119,437,1.2808
LIPA,19,29064,496,1.7066
LIPA,20,31624,557,1.7613
LIPA,21,27384,584,2.1326
LIPA,22,26809,707,2.6372
LIPA,23,31785,533,1.6769
LIPA,24,25610,317,1.2378
LIPA,25,30753,392,1.2747
LIPA,26,31437,396,1.2597
LIPA,27,32521,357,1.0978
LIPA,28,31948,480,1.5024
LIPA,29,33763,463,1.3713
LIPA,30,33168,364,1.0974
LIPA,31,31514,454,1.4406
LIPA,32,31308,462,1.4757
LIPA,33,26499,373,1.4076
LIPA,34,27528,541,1.9653
LIPA,35,31584,461,1.4596
LIPA,36,25542,350,1.3703
LIPA,37,23542,344,1.4612
LIPA,38,6902,267,3.8684
LIPA,39,12674,159,1.2545
LIPA,40,27924,362,1.2964
LIPA,41,33892,527,1.5549
LIPA,42,30981,363,1.1717
LIPA,43,35174,702,1.9958
LIPA,44,32777,992,3.0265
LIPA,45,29090,494,1.6982
LIPA,46,29747,608,2.0439
LIPA,47,31605,1135,3.5912
LIPA,48,24303,454,1.8681
LIPA,49,34736,1004,2.8904
LIPA,50,117341,767,0.6537
LIPA,51,35097,832,2.3706
LIPA,52,39973,1677,4.1953
LIPA,53,34400,830,2.4128
LIPA,54,32205,1028,3.1921
LIPA,55,29423,1180,4.0105
LIPA,56,24958,768,3.0772
LIPA,57,24508,845,3.4479
LIPA,58,25385,1235,4.8651
LIPA,59,23258,633,2.7216
LIPA,60,22295,960,4.3059
LIPA,61,29010,1349,4.6501
LIPA,62,26300,618,2.3498
LIPA,63,25364,973,3.8361
LIPA,64,27197,1387,5.0998
LIPA,65,25398,777,3.0593
LIPA,66,27647,1138,4.1162
LIPA,67,25597,1186,4.6334
LIPA,68,23847,992,4.1599
LIPA,69,23128,1010,4.3670
LIPA,70,23062,1268,5.4982
LIPA,71,25365,1293,5.0976
LIPA,72,21794,1212,5.5612
LIPA,73,27471,1407,5.1218
LIPA,74,23610,1398,5.9212
LIPA,75,27507,1718,6.2457
LIPA,76,28771,1759,6.1138
LIPA,77,26744,2001,7.4821
LIPA,78,28561,1945,6.8100
LIPA,79,26242,2100,8.0024
LIPA,80,26478,1996,7.5383
LIPA,81,24755,1750,7.0693
LIPA,82,25030,2295,9.1690
LIPA,83,26983,2516,9.3244
LIPA,84,24553,1709,6.9605
LIPA,85,27299,2202,8.0662
LIPA,86,28329,2549,8.9978
LIPA,87,29494,2268,7.6897
LIPA,88,26835,2717,10.1248
LIPA,89,30286,2240,7.3962
LIPA,90,29590,2551,8.6212
LIPA,91,27837,2318,8.3270
LIPA,92,29762,2579,8.6654
LIPA,93,23151,2147,9.2739
LIPA,94,27380,2982,10.8912
LIPA,95,27222,2680,9.8450
LIPA,96,22736,1818,7.9961
LIPA,97,26499,2206,8.3248
LIPA,98,28586,2465,8.6231
LIPA,99,25988,2063,7.9383
LIPA,100,26657,2197,8.2417
LIPA,101,27628,2813,10.1817
LIPA,102,27380,2650,9.6786
CHGE,1,568516,40,0.0070
CHGE,2,99018,21,0.0212
CHGE,3,85446,111,0.1299
CHGE,4,87483,203,0.2320
CHGE,5,89032,170,0.1909
CHGE,6,95121,184,0.1934
CHGE,7,123182,405,0.3288
CHGE,8,9272,56,0.6040
CHGE,9,10565,90,0.8519
CHGE,10,16046,118,0.7354
CHGE,11,14022,81,0.5777
CHGE,12,13857,94,0.6784
CHGE,13,8254,39,0.4725
CHGE,14,8413,48,0.5705
CHGE,15,9182,47,0.5119
CHGE,16,9471,45,0.4751
CHGE,17,8990,50,0.5562
CHGE,18,9079,66,0.7270
CHGE,19,7900,51,0.6456
CHGE,20,8410,91,1.0820
CHGE,21,7200,98,1.3611
CHGE,22,6694,107,1.5984
CHGE,23,7769,92,1.1842
CHGE,24,6029,45,0.7464
CHGE,25,7917,66,0.8336
CHGE,26,8778,55,0.6266
CHGE,27,8576,68,0.7929
CHGE,28,8400,70,0.8333
CHGE,29,8939,74,0.8278
CHGE,30,8696,67,0.7705
CHGE,31,8168,59,0.7223
CHGE,32,8251,71,0.8605
CHGE,33,6534,43,0.6581
CHGE,34,6520,90,1.3804
CHGE,35,8035,62,0.7716
CHGE,36,6241,45,0.7210
CHGE,37,6165,57,0.9246
CHGE,38,2377,47,1.9773
CHGE,39,4012,30,0.7478
CHGE,40,7656,65,0.8490
CHGE,41,9678,83,0.8576
CHGE,42,8556,71,0.8298
CHGE,43,9069,92,1.0144
CHGE,44,8694,128,1.4723
CHGE,45,7104,85,1.1965
CHGE,46,7563,98,1.2958
CHGE,47,7455,142,1.9048
CHGE,48,6352,110,1.7317
CHGE,49,8888,154,1.7327
CHGE,50,40304,163,0.4044
CHGE,51,9705,136,1.4013
CHGE,52,10490,257,2.4500
CHGE,53,9332,171,1.8324
CHGE,54,9173,156,1.7006
CHGE,55,8447,205,2.4269
CHGE,56,7578,163,2.1510
CHGE,57,6935,138,1.9899
CHGE,58,7169,183,2.5527
CHGE,59,6404,118,1.8426
CHGE,60,5620,105,1.8683
CHGE,61,8342,234,2.8051
CHGE,62,7851,135,1.7195
CHGE,63,7556,183,2.4219
CHGE,64,8462,206,2.4344
CHGE,65,7286,165,2.2646
CHGE,66,8149,191,2.3438
CHGE,67,7593,200,2.6340
CHGE,68,6377,167,2.6188
CHGE,69,6490,222,3.4206
CHGE,70,5641,199,3.5277
CHGE,71,6429,210,3.2664
CHGE,72,5850,208,3.5556
CHGE,73,7104,218,3.0687
CHGE,74,6567,197,2.9998
CHGE,75,7515,204,2.7146
CHGE,76,7444,257,3.4524
CHGE,77,6862,280,4.0804
CHGE,78,7734,263,3.4006
CHGE,79,7288,320,4.3908
CHGE,80,7082,256,3.6148
CHGE,81,6725,269,4.0000
CHGE,82,6288,312,4.9618
CHGE,83,6808,298,4.3772
CHGE,84,6376,246,3.8582
CHGE,85,7278,267,3.6686
CHGE,86,7951,369,4.6409
CHGE,87,7770,319,4.1055
CHGE,88,7089,338,4.7680
CHGE,89,7666,337,4.3960
CHGE,90,8000,406,5.0750
CHGE,91,7268,349,4.8019
CHGE,92,7707,311,4.0353
CHGE,93,6520,306,4.6933
CHGE,94,6935,414,5.9697
CHGE,95,7546,384,5.0888
CHGE,96,6104,275,4.5052
CHGE,97,7338,340,4.6334
CHGE,98,8141,386,4.7414
CHGE,99,7372,333,4.5171
CHGE,100,7433,304,4.0899
CHGE,101,8055,367,4.5562
CHGE,102,7413,406,5.4769
